"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.272125958E0,-6.399203774E-1,-7.049090365E-1,-7.923322195E-1,1.238622293E0
2.282095958E0,-6.873080403E-1,-6.618004391E-1,-1.042632810E0,1.413313603E0
2.292065958E0,-5.139072886E-1,-6.542266868E-1,-9.602478808E-1,1.270507478E0
2.302035958E0,-3.689705270E-1,-6.764228636E-1,-9.304592407E-1,1.208073482E0
2.312005958E0,-3.681219864E-1,-7.565596850E-1,-8.646242702E-1,1.206429228E0
2.321975958E0,-4.311312534E-1,-9.049145097E-1,-8.862846959E-1,1.338000370E0
2.331946958E0,-4.695209284E-1,-1.092920327E0,-1.022371624E0,1.568492423E0
2.341916958E0,-4.529076366E-1,-1.226685618E0,-1.294754224E0,1.840182446E0
2.351886958E0,-4.173992867E-1,-1.241102659E0,-1.566461472E0,2.041656072E0
2.361856958E0,-3.658918583E-1,-1.222218199E0,-1.739116886E0,2.156900953E0
2.371827958E0,-2.720065701E-1,-1.254527866E0,-9.518045014E-1,1.598048669E0
2.381798958E0,-1.198299871E-1,-1.247996526E0,-1.381254424E0,1.865400316E0
2.391768958E0,-1.256819170E-1,-1.183663851E0,-2.129441920E0,2.439544824E0
2.401738958E0,-1.317345892E-1,-1.138270016E0,-1.907185160E0,2.224942216E0
2.411708958E0,-1.322373401E-2,-1.106390996E0,-2.254343709E0,2.511243011E0
2.421678958E0,1.378548333E-1,-1.161110556E0,-2.474042897E0,2.736433798E0
2.431648958E0,2.078714401E-2,-1.280327243E0,-2.461056815E0,2.774251359E0
2.441619958E0,-2.144097966E-1,-1.338474879E0,-2.350158523E0,2.713066834E0
2.451589958E0,-4.582801314E-1,-1.463833335E0,-2.204651147E0,2.685761604E0
2.461559958E0,-6.236330312E-1,-1.574196169E0,-2.121803117E0,2.714601298E0
2.471529958E0,-6.723003573E-1,-1.588543920E0,-2.183913411E0,2.782972753E0
2.481499958E0,-6.550193500E-1,-1.422993604E0,-2.347357707E0,2.822064732E0
2.491470958E0,-6.478970759E-1,-1.177905075E0,-2.477407969E0,2.818648831E0
2.501440958E0,-5.121343763E-1,-7.864819340E-1,-2.530243995E0,2.698697857E0
2.511410958E0,-3.802322278E-1,-4.056304130E-1,-2.499116927E0,2.560214443E0
2.521380958E0,-4.805780498E-1,-1.708746448E-1,-2.330331784E0,2.385497774E0
2.531350958E0,-6.100311651E-1,-2.755851209E-2,-2.047952784E0,2.137055942E0
2.541320958E0,-6.843961269E-1,7.292318456E-2,-1.821909952E0,1.947580992E0
2.551291958E0,-7.241560239E-1,9.990004487E-2,-1.645648559E0,1.800705736E0
2.561261958E0,-6.884150644E-1,1.349480362E-1,-1.523445845E0,1.677204077E0
2.571231958E0,-4.751267637E-1,2.356037606E-1,-1.158546259E0,1.274160119E0
2.581201958E0,-2.537571725E-1,3.233171117E-1,-5.717460090E-1,7.041449823E-1
2.591171958E0,-2.341999903E-1,4.864878307E-1,6.683718324E-2,5.440471063E-1
2.601141958E0,-3.320797491E-1,6.833855818E-1,5.285421020E-1,9.255536542E-1
2.611112958E0,-5.081367812E-1,7.966192518E-1,6.217572445E-1,1.131100036E0
2.621082958E0,-6.472709852E-1,8.864619396E-1,3.833446276E-1,1.162638208E0
2.631052958E0,-8.584377699E-1,1.005108962E0,4.794658363E-2,1.322670898E0
2.641022958E0,-1.099622405E0,1.139995748E0,-2.290927398E-1,1.600388461E0
2.650992958E0,-1.137977655E0,1.319311945E0,-3.244497174E-1,1.772242865E0
2.660963958E0,-9.646063954E-1,1.598595138E0,-1.758883399E-1,1.875342268E0
2.670933958E0,-6.401949772E-1,1.813339541E0,2.265796065E-1,1.936333706E0
2.680903958E0,-2.390363686E-1,1.855467853E0,1.097116581E0,2.168770189E0
2.690873958E0,6.486023962E-2,1.785085064E0,1.981374632E0,2.667692068E0
2.700843958E0,2.304642043E-1,1.682018679E0,2.662030880E0,3.157326241E0
2.710813958E0,2.419171456E-1,1.567533997E0,3.122000345E0,3.501795667E0
2.720784958E0,1.679048440E-1,1.383135035E0,3.274833698E0,3.558902965E0
2.730754958E0,3.063941002E-2,1.189605061E0,3.161493024E0,3.378037465E0
2.740724958E0,-2.218022852E-1,1.026557353E0,2.932379819E0,3.114782120E0
2.750694958E0,-3.982488880E-1,9.457766799E-1,2.536546124E0,2.736267886E0
2.760664958E0,-4.191057600E-1,9.893654068E-1,2.017043232E0,2.285378950E0
2.770634958E0,-2.068803370E-1,1.221174032E0,1.671939980E0,2.080732752E0
2.780605958E0,1.399881899E-1,1.460219025E0,1.695618280E0,2.242087787E0
2.790575958E0,4.159337917E-1,1.461295498E0,2.027258903E0,2.533409582E0
2.800545958E0,6.849106818E-1,1.094710452E0,2.588447764E0,2.892672716E0
2.810515958E0,9.083047253E-1,4.466402254E-1,3.434672016E0,3.580708983E0
2.820485958E0,9.412568553E-1,-1.777069336E-1,4.314618330E0,4.419669168E0
2.830455958E0,6.861920992E-1,-5.804870482E-1,4.595471207E0,4.682539955E0
2.840426958E0,4.346328950E-1,-7.084784693E-1,4.001430350E0,4.086843812E0
2.850396958E0,3.900427593E-1,-5.176432940E-1,2.870372436E0,2.942639267E0
